Instance,Difficulty,Class,n,Capacity,TotalWeight,TotalProfit,Method,Value,Time(ms),Nodes,Optimal,OptimalKnown,Gap(%)
02StronglyCorrelated_n00500_R01000_s004,difficile,Unknown,500,128232,259029,309029,Complete_MILP_ORTools,163332,146,-1,true,-1,-1
02StronglyCorrelated_n00500_R01000_s004,difficile,Unknown,500,128232,259029,309029,Probabilistic_Greedy,155225,7,0,false,-1,-1
02StronglyCorrelated_n00500_R01000_s004,difficile,Unknown,500,128232,259029,309029,Incomplete_LNS,154226,8,261,false,-1,-1
02StronglyCorrelated_n00500_R01000_s005,difficile,Unknown,500,123199,248862,298862,Complete_RatioFirst,158399,300018,3295011,false,-1,-1
02StronglyCorrelated_n00500_R01000_s005,difficile,Unknown,500,123199,248862,298862,Complete_DomOverWDeg,148899,300002,4314980,false,-1,-1
02StronglyCorrelated_n00500_R01000_s005,difficile,Unknown,500,123199,248862,298862,Complete_MILP_ORTools,158399,273,-1,true,-1,-1
02StronglyCorrelated_n00500_R01000_s005,difficile,Unknown,500,123199,248862,298862,Probabilistic_Greedy,151598,8,0,false,-1,-1
02StronglyCorrelated_n00500_R01000_s005,difficile,Unknown,500,123199,248862,298862,Incomplete_LNS,147594,14,245,false,-1,-1
02StronglyCorrelated_n00500_R01000_s006,difficile,Unknown,500,124921,252342,302342,Complete_RatioFirst,160121,300069,4918974,false,-1,-1
02StronglyCorrelated_n00500_R01000_s006,difficile,Unknown,500,124921,252342,302342,Complete_DomOverWDeg,148721,300051,7225896,false,-1,-1
02StronglyCorrelated_n00500_R01000_s006,difficile,Unknown,500,124921,252342,302342,Complete_MILP_ORTools,160121,143,-1,true,-1,-1
02StronglyCorrelated_n00500_R01000_s006,difficile,Unknown,500,124921,252342,302342,Probabilistic_Greedy,152421,5,0,false,-1,-1
02StronglyCorrelated_n00500_R01000_s006,difficile,Unknown,500,124921,252342,302342,Incomplete_LNS,150221,8,254,false,-1,-1
02StronglyCorrelated_n00500_R01000_s007,difficile,Unknown,500,118921,240222,290222,Complete_RatioFirst,154621,300002,5532106,false,-1,-1
02StronglyCorrelated_n00500_R01000_s007,difficile,Unknown,500,118921,240222,290222,Complete_DomOverWDeg,144621,300005,3693666,false,-1,-1
02StronglyCorrelated_n00500_R01000_s007,difficile,Unknown,500,118921,240222,290222,Complete_MILP_ORTools,154621,232,-1,true,-1,-1
02StronglyCorrelated_n00500_R01000_s007,difficile,Unknown,500,118921,240222,290222,Probabilistic_Greedy,147116,16,0,false,-1,-1
02StronglyCorrelated_n00500_R01000_s007,difficile,Unknown,500,118921,240222,290222,Incomplete_LNS,144418,16,256,false,-1,-1
02StronglyCorrelated_n00500_R01000_s008,difficile,Unknown,500,128354,259277,309277,Complete_RatioFirst,163054,300001,3858106,false,-1,-1
02StronglyCorrelated_n00500_R01000_s008,difficile,Unknown,500,128354,259277,309277,Complete_DomOverWDeg,153954,299998,3402179,false,-1,-1
02StronglyCorrelated_n00500_R01000_s008,difficile,Unknown,500,128354,259277,309277,Complete_MILP_ORTools,163054,246,-1,true,-1,-1
02StronglyCorrelated_n00500_R01000_s008,difficile,Unknown,500,128354,259277,309277,Probabilistic_Greedy,154750,7,0,false,-1,-1
02StronglyCorrelated_n00500_R01000_s008,difficile,Unknown,500,128354,259277,309277,Incomplete_LNS,153850,16,256,false,-1,-1
02StronglyCorrelated_n00500_R01000_s009,difficile,Unknown,500,119918,242235,292235,Complete_RatioFirst,155718,300026,3250250,false,-1,-1
02StronglyCorrelated_n00500_R01000_s009,difficile,Unknown,500,119918,242235,292235,Complete_DomOverWDeg,145318,300020,3497754,false,-1,-1
02StronglyCorrelated_n00500_R01000_s009,difficile,Unknown,500,119918,242235,292235,Complete_MILP_ORTools,155718,321,-1,true,-1,-1
02StronglyCorrelated_n00500_R01000_s009,difficile,Unknown,500,119918,242235,292235,Probabilistic_Greedy,146496,15,0,false,-1,-1
02StronglyCorrelated_n00500_R01000_s009,difficile,Unknown,500,119918,242235,292235,Incomplete_LNS,145618,72,258,false,-1,-1
