Instance,Difficulty,Class,n,Capacity,TotalWeight,TotalProfit,Method,Value,Time(ms),Nodes,Optimal,OptimalKnown,Gap(%)
02StronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,68616,Complete_DomOverWDeg,34117,59998,1402899,false,-1,-1
02StronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,68616,Complete_MILP_ORTools,35617,33,-1,true,-1,-1
02StronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,68616,Incomplete_LNS,33514,59990,93134064,false,-1,-1
02StronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,68616,Incomplete_Greedy,35372,0,0,false,-1,-1
03InverseStronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,33968,68616,58616,Complete_FirstFail,29762,59994,1168054,false,-1,-1
03InverseStronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,33968,68616,58616,Complete_DomOverWDeg,29668,60001,1472685,false,-1,-1
03InverseStronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,33968,68616,58616,Complete_MILP_ORTools,30467,19,-1,true,-1,-1
03InverseStronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,33968,68616,58616,Incomplete_LNS,29062,59992,10226014,false,-1,-1
03InverseStronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,33968,68616,58616,Incomplete_Greedy,30463,0,0,false,-1,-1
04AlmostStronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,68596,Complete_FirstFail,34014,59994,667447,false,-1,-1
04AlmostStronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,68596,Complete_DomOverWDeg,34101,60010,1257522,false,-1,-1
04AlmostStronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,68596,Complete_MILP_ORTools,35611,67,-1,true,-1,-1
04AlmostStronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,68596,Incomplete_LNS,33994,60002,91185981,false,-1,-1
04AlmostStronglyCorrelated_n00100_R01000_s000,moyen,Unknown,100,29017,58616,68596,Incomplete_Greedy,35363,2,0,false,-1,-1
05SubsetSum_n00100_R01000_s000,moyen,Unknown,100,29017,58616,58616,Complete_FirstFail,29017,59994,685235,false,-1,-1
05SubsetSum_n00100_R01000_s000,moyen,Unknown,100,29017,58616,58616,Complete_DomOverWDeg,29017,59994,1370229,false,-1,-1
05SubsetSum_n00100_R01000_s000,moyen,Unknown,100,29017,58616,58616,Complete_MILP_ORTools,29015,100,-1,true,-1,-1
05SubsetSum_n00100_R01000_s000,moyen,Unknown,100,29017,58616,58616,Incomplete_LNS,29017,59994,6893779,false,-1,-1
05SubsetSum_n00100_R01000_s000,moyen,Unknown,100,29017,58616,58616,Incomplete_Greedy,28954,0,0,false,-1,-1
06UncorrelatedWithSimilarWeights_n00100_R01000_s000,moyen,Unknown,100,4952745,10004545,58616,Complete_FirstFail,33813,59993,2269929,false,-1,-1
06UncorrelatedWithSimilarWeights_n00100_R01000_s000,moyen,Unknown,100,4952745,10004545,58616,Complete_DomOverWDeg,33588,59986,1494118,false,-1,-1
06UncorrelatedWithSimilarWeights_n00100_R01000_s000,moyen,Unknown,100,4952745,10004545,58616,Complete_MILP_ORTools,39791,66,-1,true,-1,-1
06UncorrelatedWithSimilarWeights_n00100_R01000_s000,moyen,Unknown,100,4952745,10004545,58616,Incomplete_LNS,32256,59993,6142066,false,-1,-1
06UncorrelatedWithSimilarWeights_n00100_R01000_s000,moyen,Unknown,100,4952745,10004545,58616,Incomplete_Greedy,39791,0,0,false,-1,-1
07SpannerUncorrelated_n00100_R01000_s000,moyen,Unknown,100,8751,17678,42088,Complete_FirstFail,19936,60007,1485809,false,-1,-1
07SpannerUncorrelated_n00100_R01000_s000,moyen,Unknown,100,8751,17678,42088,Complete_DomOverWDeg,21496,60000,2705981,false,-1,-1
07SpannerUncorrelated_n00100_R01000_s000,moyen,Unknown,100,8751,17678,42088,Complete_MILP_ORTools,24228,12,-1,true,-1,-1
07SpannerUncorrelated_n00100_R01000_s000,moyen,Unknown,100,8751,17678,42088,Incomplete_LNS,20384,59999,19929656,false,-1,-1
07SpannerUncorrelated_n00100_R01000_s000,moyen,Unknown,100,8751,17678,42088,Incomplete_Greedy,24228,0,0,false,-1,-1
00Uncorrelated_n01000_R01000_s000,difficile,Unknown,1000,252480,510010,496865,Complete_FirstFail,245505,60001,3709273,false,-1,-1
00Uncorrelated_n01000_R01000_s000,difficile,Unknown,1000,252480,510010,496865,Complete_DomOverWDeg,250743,60000,1976177,false,-1,-1
00Uncorrelated_n01000_R01000_s000,difficile,Unknown,1000,252480,510010,496865,Complete_MILP_ORTools,400809,35,-1,true,-1,-1
00Uncorrelated_n01000_R01000_s000,difficile,Unknown,1000,252480,510010,496865,Incomplete_LNS,246371,60000,83308074,false,-1,-1
00Uncorrelated_n01000_R01000_s000,difficile,Unknown,1000,252480,510010,496865,Incomplete_Greedy,400792,1,0,false,-1,-1
00Uncorrelated_n01000_R01000_s001,difficile,Unknown,1000,243069,491001,514650,Complete_FirstFail,278127,60000,3202757,false,-1,-1
00Uncorrelated_n01000_R01000_s001,difficile,Unknown,1000,243069,491001,514650,Complete_DomOverWDeg,261386,60000,1760120,false,-1,-1
00Uncorrelated_n01000_R01000_s001,difficile,Unknown,1000,243069,491001,514650,Complete_MILP_ORTools,418472,68,-1,true,-1,-1
00Uncorrelated_n01000_R01000_s001,difficile,Unknown,1000,243069,491001,514650,Incomplete_LNS,246147,60000,76332672,false,-1,-1
00Uncorrelated_n01000_R01000_s001,difficile,Unknown,1000,243069,491001,514650,Incomplete_Greedy,418452,0,0,false,-1,-1
01WeaklyCorrelated_n01000_R01000_s000,difficile,Unknown,1000,245972,496865,502012,Complete_FirstFail,249257,59999,4887779,false,-1,-1
01WeaklyCorrelated_n01000_R01000_s000,difficile,Unknown,1000,245972,496865,502012,Complete_DomOverWDeg,250119,60000,1057692,false,-1,-1
01WeaklyCorrelated_n01000_R01000_s000,difficile,Unknown,1000,245972,496865,502012,Complete_MILP_ORTools,273036,50,-1,true,-1,-1
01WeaklyCorrelated_n01000_R01000_s000,difficile,Unknown,1000,245972,496865,502012,Incomplete_LNS,249172,59987,38420423,false,-1,-1
01WeaklyCorrelated_n01000_R01000_s000,difficile,Unknown,1000,245972,496865,502012,Incomplete_Greedy,273044,16,0,false,-1,-1
02StronglyCorrelated_n01000_R01000_s000,difficile,Unknown,1000,245972,496865,596865,Complete_FirstFail,297270,60015,1514896,false,-1,-1
02StronglyCorrelated_n01000_R01000_s000,difficile,Unknown,1000,245972,496865,596865,Complete_DomOverWDeg,295171,60006,680557,false,-1,-1
02StronglyCorrelated_n01000_R01000_s000,difficile,Unknown,1000,245972,496865,596865,Complete_MILP_ORTools,316372,63,-1,true,-1,-1
02StronglyCorrelated_n01000_R01000_s000,difficile,Unknown,1000,245972,496865,596865,Incomplete_LNS,295265,60001,81629509,false,-1,-1
02StronglyCorrelated_n01000_R01000_s000,difficile,Unknown,1000,245972,496865,596865,Incomplete_Greedy,316236,0,0,false,-1,-1
03InverseStronglyCorrelated_n01000_R01000_s000,difficile,Unknown,1000,295477,596865,496865,Complete_FirstFail,245778,60000,4024539,false,-1,-1
03InverseStronglyCorrelated_n01000_R01000_s000,difficile,Unknown,1000,295477,596865,496865,Complete_DomOverWDeg,247577,60000,2209230,false,-1,-1
03InverseStronglyCorrelated_n01000_R01000_s000,difficile,Unknown,1000,295477,596865,496865,Complete_MILP_ORTools,263977,38,-1,true,-1,-1
03InverseStronglyCorrelated_n01000_R01000_s000,difficile,Unknown,1000,295477,596865,496865,Incomplete_LNS,245476,60000,83367243,false,-1,-1
